"serial_number","model","capacity_bytes","min_date","max_date","first_fail"
"13H2B97AS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H3012AS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H32WEAS","TOSHIBA DT01ACA300",3000592982016,2013-04-26,2013-12-31,
"13H6A0DGS","TOSHIBA DT01ACA300",3000592982016,2013-04-20,2013-12-31,
"13H6A21GS","TOSHIBA DT01ACA300",3000592982016,2013-05-22,2013-12-31,
"13H7JUNAS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H7X2HAS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H80PNGS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H85BMGS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H87YWAS","TOSHIBA DT01ACA300",3000592982016,2013-05-14,2013-12-31,
"13H883WAS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H89KSGS","TOSHIBA DT01ACA300",3000592982016,2013-05-14,2013-12-31,
"13H89U2GS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H8AB0GS","TOSHIBA DT01ACA300",3000592982016,2013-05-09,2013-12-31,
"13H8B2RGS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H8B38GS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H8B3SGS","TOSHIBA DT01ACA300",3000592982016,2013-05-09,2013-12-31,
"13H8B43GS","TOSHIBA DT01ACA300",3000592982016,2013-04-26,2013-12-31,
"13H8B48GS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"13H8D70AS","TOSHIBA DT01ACA300",3000592982016,2013-10-15,2013-12-31,
"5XW004AJ","ST31500541AS",1500301910016,2013-04-20,2013-12-31,
"5XW004Q0","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW008MX","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00B95","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00E5M","ST32000542AS",2000398934016,2013-05-16,2013-12-31,
"5XW00EY9","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00F4P","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00F5X","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00J2Z","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00K1P","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00L6T","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00Q54","ST320005XXXX",2000398934016,2013-04-10,2013-12-31,
"5XW00R5X","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00S80","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00SQX","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00T9F","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00TCN","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00TH4","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00W79","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00WMG","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW00YFC","ST32000542AS",2000398934016,2013-04-10,2013-12-31,
"5XW0132R","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW014S9","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW015QG","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW018N2","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW0190E","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW01B7T","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW01DHS","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW01FK4","ST31500541AS",1500301910016,2013-04-20,2013-12-31,
"5XW01KH5","ST32000542AS",2000398934016,2013-04-10,2013-12-31,
"5XW01P66","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW01PPF","ST31500541AS",1500301910016,2013-04-10,2013-08-06,2013-08-06
"5XW01QQ4","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW01RTZ","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW01V0Y","ST320005XXXX",2000398934016,2013-04-10,2013-12-31,
"5XW01VKF","ST320005XXXX",2000398934016,2013-04-10,2013-12-31,
"5XW020EB","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW0210A","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW025SL","ST32000542AS",2000398934016,2013-04-10,2013-12-31,
"5XW027F6","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
"5XW027X0","ST320005XXXX",2000398934016,2013-04-10,2013-12-31,
"5XW029ZZ","ST31500541AS",1500301910016,2013-04-10,2013-12-31,
