model,capacity_bytes,size
00MD00,4000787030016,4 TB
DELLBOSS VD,480036847616,480 GB
HGST HDS5C4040ALE630,4000787030016,4 TB
HGST HDS724040ALE640,4000787030016,4 TB
HGST HMS5C4040ALE640,4000787030016,4 TB
HGST HMS5C4040BLE640,4000787030016,4 TB
HGST HMS5C4040BLE641,4000787030016,4 TB
HGST HUH721010ALE600,10000831348736,10 TB
HGST HUH721212ALE600,12000138625024,12 TB
HGST HUH721212ALE604,12000138625024,12 TB
HGST HUH721212ALN604,12000138625024,12 TB
HGST HUH728080ALE600,8001563222016,8 TB
HGST HUS726040ALE610,4000787030016,4 TB
Hitachi HDS5C3030ALA630,3000592982016,3 TB
Hitachi HDS5C3030BLE630,3000592982016,3 TB
Hitachi HDS5C4040ALE630,4000787030016,4 TB
Hitachi HDS722020ALA330,2000398934016,2 TB
Hitachi HDS723020BLA642,2000398934016,2 TB
Hitachi HDS723030ALA640,3000592982016,3 TB
Hitachi HDS723030BLE640,3000592982016,3 TB
Hitachi HDS724040ALE640,4000787030016,4 TB
Hitachi HDT721010SLA360,1000204886016,1 TB
Hitachi HDT725025VLA380,2.5e+11,250 GB
MTFDDAV240TCB,240057409536,240 GB
MTFDDAV240TDU,240057409536,240 GB
SAMSUNG HD103UJ,1000204886016,1 TB
SAMSUNG HD154UI,1500301910016,2 TB
SSDSCKKB480G8R,480103981056,480 GB
ST10000NM001G,10000831348736,10 TB
ST10000NM0086,10000831348736,10 TB
ST1000LM024 HN,1000204886016,1 TB
ST12000NM0007,12000138625024,12 TB
ST12000NM0008,12000138625024,12 TB
ST12000NM001G,12000138625024,12 TB
ST12000NM0117,12000138625024,12 TB
ST14000NM0018,14000519643136,14 TB
ST14000NM001G,14000519643136,14 TB
ST14000NM0138,14000519643136,14 TB
ST1500DL001,1500301910016,2 TB
ST1500DL003,1500301910016,2 TB
ST1500DM003,1500301910016,2 TB
ST16000NM001G,16000900661248,16 TB
ST16000NM005G,16000900661248,16 TB
ST18000NM000J,18000207937536,18 TB
ST2000DL001,2000398934016,2 TB
ST2000DL003,2000398934016,2 TB
ST2000DM001,2000398934016,2 TB
ST2000VN000,2000398934016,2 TB
ST250LM004 HN,250059350016,250 GB
