model,size,n_unique,drive_days,failed,years_97pct,surv_5yr_lower,surv_5yr,surv_5yr_upper
wdc wuh721816ale6l4,16,26506,11603684,101,5.67008898015058,0.974426514641717,0.978935626692511,0.982663837742008
wdc wuh721414ale6l4,14,8603,10867094,113,5.60711841204654,0.97406244186319,0.978373869715155,0.981981894280283
hgst hms5c4040ale640,4,8716,18224627,253,5.40999315537303,0.972844507158401,0.975982145981543,0.978765164476738
hgst huh721212ale600,12,2673,4483664,61,4.75564681724846,0.968013025893199,0.975013099753289,0.980512107821333
wdc wuh721816ale6l0,16,3069,2772374,37,4.03559206023272,0.960132560307232,0.970943205167111,0.978886846512411
hitachi hds5c4040ale630,4,2719,4643856,89,3.84120465434634,0.957314015348893,0.965168268238788,0.971620175748479
st6000dx000,6,1939,4330559,100,3.56194387405886,0.952460342797235,0.960779241375449,0.967691806344386
hitachi hds5c3030ala630,3,4664,6934573,150,3.52361396303901,0.951824392146636,0.958803367252287,0.964808710441171
st16000nm001g,16,34293,22614411,480,3.31827515400411,0.947933068204288,0.95234194639702,0.956394666846021
toshiba mg07aca14ta,14,39365,51123732,1376,3.1211498973306,0.943975521817318,0.946849256594411,0.949583458016056
st12000nm001g,12,13627,16705713,434,3.07460643394935,0.943090020540174,0.948104638379661,0.95269955511792
hgst huh721212ale604,12,13519,15607978,392,3.06091718001369,0.942761538327207,0.948068867825604,0.952908666316136
hgst huh728080ale600,8,1218,2609201,73,2.99794661190965,0.941504217006829,0.953195203527137,0.962642337454905
toshiba mg08aca16tey,16,5347,4846164,125,2.70773442847365,0.934470351680784,0.944731565177534,0.953466000581555
st8000dm002,8,10307,27580788,1111,2.6694045174538,0.933693328516278,0.937501501444853,0.941104756583417
hgst huh721212aln604,12,11422,20559877,882,2.26694045174538,0.920484403551472,0.925374052106026,0.929985892061372
toshiba mg08aca16te,16,6130,5737006,192,2.22039698836413,0.918292555715546,0.928736937124751,0.937936480905214
toshiba mg08aca16ta,16,39184,12456523,361,2.21492128678987,0.918075066377969,0.926057261529814,0.933318215343089
toshiba md04aba400v,4,150,378365,11,2.17659137577002,0.916970819439124,0.952910689406125,0.973739215757906
st14000nm001g,14,11177,13299198,504,2.17932922655715,0.916749684973389,0.923517631122921,0.929777513708418
st8000nm0055,8,15680,36632508,1893,2.10814510609172,0.914116488756479,0.917914352009289,0.921558681175201
st16000nm002j,16,468,259866,4,1.97399041752225,0.907644211606322,0.963862255562293,0.986373477263596
hitachi hds722020ala330,2,4774,5675646,235,1.94387405886379,0.90519738488594,0.916128935354096,0.925903165737194
st12000nm0008,12,20955,31032423,1615,1.84531143052704,0.89956876696227,0.904186021111581,0.908612565372423
wdc wuh722222ale6l4,22,13244,1279877,42,1.82888432580424,0.898434703070372,0.923975156391219,0.943496917121451
hitachi hds723030ala640,3,1048,1495337,73,1.65092402464066,0.886198696366694,0.908331044886743,0.926515960572989
st4000dm000,4,37040,81347421,5770,1.6208076659822,0.884524036037566,0.88768905680462,0.890778040945222
toshiba mg07aca14tey,14,738,692480,28,1.59342915811088,0.881863623802659,0.91662141460414,0.941827440797883
st8000nm000a,8,249,128292,1,1.54688569472964,0.881176539389109,0.981690384570073,0.997426932431434
st10000nm0086,10,1304,2924650,202,1.51403148528405,0.875190730842408,0.89036191841051,0.903891484987155
st12000nm0007,12,38842,36947060,2173,1.50855578370979,0.87437412650971,0.879570271710788,0.884579864179903
hgst hds5c4040ale630,4,118,146527,6,1.28952772073922,0.845044615847065,0.926055392876518,0.966397779853189
toshiba md04aba500v,5,47,67138,2,1.01300479123888,0.799984541949613,0.943371298116149,0.985792700779398
hgst hus726040ale610,4,55,69213,3,0.969199178644764,0.790635090783244,0.924518165135196,0.975445604389517
hgst hds724040ale640,4,42,61165,2,0.917180013689254,0.781345638698324,0.937311460248659,0.984267182449148
wdc wd40efrx,4,50,77099,4,0.908966461327858,0.775931254641849,0.906450054116164,0.964427777785928
wdc wd60efrx,6,499,692834,72,0.92539356605065,0.775318593417571,0.816679609033484,0.851881188550058
st8000dm005,8,27,53730,3,0.791238877481177,0.749295092942029,0.907405075082593,0.969817714260773
wdc wd30efrx,3,1335,1365902,174,0.769336071184121,0.734905283510111,0.766654215434565,0.795658016805415
wdc wd10eacs,1,109,109398,8,0.758384668035592,0.734742514134788,0.85420798796296,0.925336647583594
wdc wd10eads,1,550,549212,64,0.7419575633128,0.726627259677322,0.778190701305734,0.822405366188413
toshiba dt01aca300,3,60,78820,7,0.646132785763176,0.701231630869302,0.840287396522071,0.921836589166431
st4000dm005,4,90,95987,11,0.618754277891855,0.690468206337628,0.811128926984935,0.892104071100326
st14000nm0138,14,1690,1951778,317,0.610540725530459,0.681554636521243,0.709362682551227,0.735684142689889
st33000651as,3,351,241851,31,0.561259411362081,0.663690637537482,0.747656138476198,0.816455651881408
st18000nm000j,18,70,82370,10,0.492813141683778,0.636078123799659,0.778860023718328,0.876499264776992
toshiba hdwf180,8,69,65254,9,0.42984257357974,0.606621086784035,0.76461556264726,0.872492084188518
st12000nm000j,12,482,74238,7,0.418891170431212,0.603695930173838,0.778875988152331,0.890647044192659
hgst huh728080ale604,8,98,77317,10,0.396988364134155,0.590140210530949,0.746448198012562,0.857535668993712
st31500541as,1.5,2188,1655558,397,0.344969199178645,0.552307282623394,0.584066051348026,0.615141775221312
wdc wd30ezrx,3,500,149891,22,0.323066392881588,0.539320371600855,0.661358774186438,0.765146172234063
st4000dx000,4,222,305172,81,0.306639288158795,0.526723984372513,0.595399325939462,0.660531924923456
wdc wd20efrx,2,167,88330,15,0.287474332648871,0.516199552050765,0.664197341628902,0.785715533531436
st10000nm001g,10,29,23056,2,0.246406570841889,0.503361473049116,0.823264877809377,0.95537482708563
st32000542as,2,385,147014,33,0.240930869267625,0.458769784807708,0.570006836321154,0.674597708069679
hitachi hds723030ble640,3,10,14225,1,0.183436002737851,0.451870219109822,0.87055425153992,0.982099315846976
wdc wd10eadx,1,29,24592,4,0.188911704312115,0.419265822665079,0.698590394870036,0.881527657888983
st14000nm0018,14,80,52551,12,0.191649555099247,0.4107049906826,0.590744929409606,0.74934898259629
st4000dm004,4,20,13505,1,0.134154688569473,0.38513145420222,0.841135599701423,0.978144985820447
hgst hus728t8tale6l4,8,20,13248,1,0.131416837782341,0.377490478142541,0.837392804491311,0.977645624932207
wuh721816ale6l4,16,96,13058,1,0.109514031485284,0.33832691137983,0.816770157542826,0.974912836814172
st14000nm000j,14,143,26784,5,0.136892539356605,0.331087907216124,0.602307412068695,0.822509950584985
st4000dm001,4,425,95868,34,0.112251882272416,0.257081622009165,0.370956772547341,0.50124091667181
seagate barracuda ssd za2000cm10002,2,4,6645,1,0.0711841204654346,0.247525241612406,0.756602883714293,0.967078166960154
st31500341as,1.5,787,374864,216,0.0930869267624914,0.206793952171371,0.250741631479124,0.300490860160827
hitachi hds723020bla642,2,11,9985,3,0.0711841204654346,0.188470919138484,0.520331297056962,0.835169443194895
st3000dm001,3,4707,2463925,1708,0.0766598220396988,0.167487921807893,0.183421649684067,0.200506130042554
st12000nm0117,12,30,13805,7,0.0657084188911704,0.147239220014207,0.360297542375046,0.647547098260893
st2000vn000,2,10,4920,2,0.0246406570841889,0.0634660555064072,0.374158425510689,0.840619493672809
wdc wd30ezrs,3,18,5421,2,0.0219028062970568,0.0547099672405168,0.351226878549589,0.835090673153669
samsung hd154ui,1.5,4,2225,1,0.00821355236139631,0.0207502130726457,0.341556006121392,0.927000034794905
st2000dm001,2,8,2510,1,0.00821355236139631,0.0187350366033117,0.329222346513601,0.926561928304575
st320005xxxx,2,18,6256,7,0.0109514031485284,0.0047201185371899,0.0480244155673386,0.349219982397146
st1500dl003,1.5,116,36911,90,0.00821355236139631,0.000801379935434055,0.00273877511137315,0.00931629557813418
st4000dx002,4,7,2337,4,0.0027378507871321,0.000221536730307892,0.0146168178378058,0.498246250865813
st8000dm004,8,7,2823,7,0.0027378507871321,4.79109398769939e-05,0.00332439655297471,0.188443532119372
st2000dl001,2,12,1556,5,0.000114077116130504,1.2430988222123e-06,0.000715432636193329,0.291953992182734
st2000dl003,2,17,1278,8,0.000114077116130504,1.58510982117832e-11,4.21347050179785e-07,0.0110759584562261
00md00,4,2,12,0,0.000114077116130504,0,0.999999269556707,1
wdc wd1000fyps,1,1,193,0,0.000114077116130504,0,0.999999171600157,1
wdc wd15eads,1.5,1,194,0,0.000114077116130504,0,0.999999171364085,1
hgst hus726040aln610,4,19,4483,0,0.000114077116130504,0,0.999999155730105,1
st16000nm000j,16,62,15848,0,0.000114077116130504,0,0.999999152136195,1
toshiba mg10aca20te,20,2,596,0,0.000114077116130504,0,0.999999146834362,1
samsung hd103uj,1,14,4480,0,0.000114077116130504,0,0.999999143071325,1
hitachi hdt721010sla360,1,15,5041,0,0.000114077116130504,0,0.999999138722793,1
st12000nm003g,12,5,2031,0,0.000114077116130504,0,0.999999126929918,1
st1500dm003,1.5,5,3250,0,0.000114077116130504,0,0.999999104464557,1
wdc wd15ears,1.5,3,1721,0,0.000114077116130504,0,0.99999910300741,1
st1500dl001,1.5,2,1607,0,0.000114077116130504,0,0.999999100105066,1
wdc wd1001fals,1,2,1985,0,0.000114077116130504,0,0.99999909237083,1
wdc wd10earx,1,3,3154,0,0.000114077116130504,0,0.999999091010594,1
wdc wd10ears,1,5,4923,0,0.000114077116130504,0,0.999999089594515,1
st16000nm005g,16,26,33182,0,0.000114077116130504,0,0.999999087318411,1
wdc wd10eals,1,1,1343,0,0.000114077116130504,0,0.999999085450047,1
hitachi hds724040ale640,4,3,3769,0,0.000114077116130504,0,0.999999084259092,1
hitachi hds5c3030ble630,3,1,1477,0,0.000114077116130504,0,0.999999079948661,1
st6000dm004,6,3,2761,0,0.000114077116130504,0,0.999999078432285,1
toshiba hdwe160,6,10,10437,0,0.000114077116130504,0,0.999999075730681,1
st6000dm001,6,15,17510,0,0.000114077116130504,0,0.999999073362639,1
hgst huh721010ale600,10,20,40104,0,0.000114077116130504,0,0.999999069362641,1
hgst hms5c4040ble641,4,1,2070,0,0.000114077116130504,0,0.999999068926534,1
st1000lm024 hn,1,1,2960,0,0.000114077116130504,0,0.999999048056887,1
samsung ssd 850 evo 1tb,1,10,224,10,0.000114077116130504,0,8.95915371861594e-33,9.37694366598407e-13
