model,size,n_unique,drive_days,failed,surv_days_99pct,surv_5yr_lower,surv_5yr,surv_5yr_upper
WDC  WUH721414ALE6L4,14 TB,7694,650370,1,807,0.996508555555302,0.999507100947066,0.999930595128879
HGST HUH721212ALN604,12 TB,10944,8840451,105,708,0.995950168143151,0.996660572162433,0.997246704675637
HGST HMS5C4040ALE640,4 TB,8723,14215303,192,632,0.995371474217716,0.996000803913683,0.996544862166013
HGST HUH721212ALE600,12 TB,2619,1629567,17,591,0.994995607010724,0.99688702751882,0.998064972042622
HGST HUH721212ALE604,12 TB,10792,1376575,18,478,0.993124668120883,0.995664716170275,0.997268940051649
Hitachi HDS5C4040ALE630,4 TB,2719,4636586,88,478,0.993118703480273,0.994428961937195,0.995490868589117
WDC WUH721414ALE6L4,14 TB,8421,1630664,20,477,0.993113866812687,0.995554210667946,0.997132230025088
Hitachi HDS5C3030ALA630,3 TB,4664,6934573,150,467,0.992747619206042,0.993838746337303,0.994766577822912
HGST HUH728080ALE600,8 TB,1163,1368895,24,459,0.99246970017845,0.994951739777786,0.996618469141625
TOSHIBA MG07ACA14TA,14 TB,32199,9653721,209,432,0.99185671308617,0.992890033556871,0.993793054147435
ST12000NM001G,12 TB,10620,2885329,52,422,0.991625495499123,0.993612188325243,0.995129890540697
ST8000DM002,8 TB,10241,17182411,507,382,0.990527824651942,0.991373462535364,0.992144204000974
ST12000NM0008,12 TB,20601,9290813,244,382,0.990525189629985,0.9916466170301,0.992636300342573
ST6000DX000,6 TB,1939,3410511,88,374,0.990268547626293,0.992119540657075,0.993620729384773
ST8000NM0055,8 TB,15112,21072469,690,363,0.989903118157213,0.990692408647071,0.991420533705958
ST10000NM0086,10 TB,1263,1663652,44,362,0.9898720284747,0.9924657502689,0.994398991628546
TOSHIBA MG08ACA16TEY,16 TB,1431,227941,1,336,0.988982837759821,0.998435916936193,0.999779756761218
Hitachi HDS722020ALA330,2 TB,4774,5675646,235,274,0.98645309557534,0.988114250078118,0.989573862674667
TOSHIBA MD04ABA400V,4 TB,150,289927,6,264,0.985864487459617,0.993621547643434,0.997134186667971
Seagate BarraCuda SSD ZA250CM10002,250 GB,563,261645,5,253,0.985426370964996,0.993899241703315,0.997458826210696
ST14000NM001G,14 TB,8412,1590919,52,240,0.984610771899299,0.988257658237213,0.991048175318648
ST12000NM0007,12 TB,38748,35477372,1911,229,0.983835360600999,0.984663970846117,0.985450734110283
Hitachi HDS723030ALA640,3 TB,1048,1495337,73,213,0.982598526945221,0.986172266564843,0.989020268626254
